ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
5306,1988-01-01T00:00:00.000,Fell,Ceniceros,Valid,1025,26.46667,-105.23333
5307,1956-01-01T00:00:00.000,Fell,Centerville,Valid,45.6,43.2,-96.91667
5308,1840-01-01T00:00:00.000,Fell,Cereseto,Valid,6460,45.08333,8.3
5313,1998-01-01T00:00:00.000,Fell,Chadong,Valid,3700,28.53333,109.31667
5314,1814-01-01T00:00:00.000,Fell,Chail,Valid,0.5,25.36667,81.66667
5315,1907-01-01T00:00:00.000,Fell,Chainpur,Valid,8200,25.85,83.48333
5316,1933-01-01T00:00:00.000,Fell,Chajari,Valid,18300,-30.78333,-58.05
5320,1838-01-01T00:00:00.000,Fell,Chandakapur,Valid,8800,20.26667,76.01667
5321,1885-01-01T00:00:00.000,Fell,Chandpur,Valid,1100,27.28333,79.05
5322,1977-01-01T00:00:00.000,Fell,Changde,Valid,1810,29.08333,111.75
5325,1812-01-01T00:00:00.000,Fell,Chantonnay,Valid,31500,46.68333,1.05
5328,1835-01-01T00:00:00.000,Fell,Charlotte,Valid,4300,36.16667,-87.33333
5329,1810-01-01T00:00:00.000,Fell,Charsonville,Valid,27000,47.93333,1.56667
5330,1834-01-01T00:00:00.000,Fell,Charwallas,Valid,12000,29.48333,75.5
5331,1815-01-01T00:00:00.000,Fell,Chassigny,Valid,4000,47.71667,5.36667
5332,1841-01-01T00:00:00.000,Fell,Château-Renard,Valid,30000,47.93333,2.91667
5334,1925-01-01T00:00:00.000,Fell,Chaves,Valid,2945,41.93333,-7.46667
5338,1988-01-01T00:00:00.000,Fell,Chela,Valid,2936,-3.66667,32.5
57165,2013-01-01T00:00:00.000,Fell,Chelyabinsk,Valid,100000,54.81667,61.11667
47347,2007-01-01T00:00:00.000,Fell,Chergach ,Valid,100000,23.69639,-5.01472
5339,1964-01-01T00:00:00.000,Fell,Chernyi Bor,Valid,6000,53.7,30.1
5340,1933-01-01T00:00:00.000,Fell,Cherokee Springs,Valid,8400,35.03333,-81.88333
5341,1901-01-01T00:00:00.000,Fell,Chervettaz,Valid,705,46.55,6.81667
5342,1939-01-01T00:00:00.000,Fell,Chervony Kut,Valid,1700,50.83333,34.0
5344,1880-01-01T00:00:00.000,Fell,Chetrinahatti,Valid,72,14.5,76.5
5345,1981-01-01T00:00:00.000,Fell,Chiang Khan,Valid,367,17.9,101.63333
5349,1938-01-01T00:00:00.000,Fell,Chicora,Valid,303,40.93333,-79.73333
5355,1988-01-01T00:00:00.000,Fell,Chisenga,Valid,3920,-10.05944,33.395
5356,1966-01-01T00:00:00.000,Fell,Chitado,Valid,,-17.35,13.96667
5357,1978-01-01T00:00:00.000,Fell,Chitenay,Valid,4000,47.47083,0.97667
5364,1979-01-01T00:00:00.000,Fell,Cilimus,Valid,1600,-6.95,108.1
5374,1984-01-01T00:00:00.000,Fell,Claxton,Valid,1455,32.1025,-81.87278
5383,1822-01-01T00:00:00.000,Fell,Clohars,Valid,48.6,,
5395,1917-01-01T00:00:00.000,Fell,Colby (Wisconsin),Valid,104000,44.9,-90.28333
5397,1838-01-01T00:00:00.000,Fell,Cold Bokkeveld,Valid,5200,-33.13333,19.38333
5401,1994-01-01T00:00:00.000,Fell,Coleman,Valid,469,43.76111,-84.50778
5403,1890-01-01T00:00:00.000,Fell,Collescipoli,Valid,5000,42.53333,12.61667
5418,1965-01-01T00:00:00.000,Fell,Conquista,Valid,20350,-19.85,-47.55
5451,1844-01-01T00:00:00.000,Fell,Cosina,Valid,1200,21.16667,-100.86667
5465,1917-01-01T00:00:00.000,Fell,Cranganore,Valid,1460,10.2,76.26667
5470,1936-01-01T00:00:00.000,Fell,Crescent,Valid,78.400000000000006,35.95,-97.58333
5474,1877-01-01T00:00:00.000,Fell,Cronstad,Valid,3650,-27.7,27.3
5476,1892-01-01T00:00:00.000,Fell,Cross Roads,Valid,167,35.63333,-78.13333
5477,1902-01-01T00:00:00.000,Fell,Crumlin,Valid,4255,54.61667,-6.21667
5496,1919-01-01T00:00:00.000,Fell,Cumberland Falls,Valid,17000,36.83333,-84.35
5500,1877-01-01T00:00:00.000,Fell,Cynthiana,Valid,6000,38.4,-84.25
5504,1981-01-01T00:00:00.000,Fell,Dahmani,Valid,18000,35.61667,8.83333
